,elevation_13,slope_13,aspect_13,placurv_13,procurv_13,precipitation_mm_last_7_days,soil_tax,soil_rec_symbol,soil_rec_mat_origin,soil_rec_sew_class,soil_rec_tex_sup,soil_rec_c_tex_sup,soil_rec_tex_sub,soil_rec_c__tex_sub,soil_rec_risk_eros,soil_use,rock_type,rock_period,DecistionTree_prediction_prob,RandomForest_prediction_prob,AdaBoost_prediction_prob,XGBoost_prediction_prob,LogisticRegression_prediction_prob,SupportVectorMachine_prediction_prob,DecistionTree_class3,RandomForest_class3,AdaBoost_class3,XGBoost_class3,LogisticRegression_class3,SupportVectorMachine_class3,DecistionTree_class5,RandomForest_class5,AdaBoost_class5,XGBoost_class5,LogisticRegression_class5,SupportVectorMachine_class5,landslide,train
9699,288.0,20.597847,183.81407,-0.0,70.0,22.36984578985721,4,68,27,1,1,5,2,7,2,7,2,53,0.02556818181818182,0.65,0.49464546366711065,0.49108133,0.0788553275928614,0.04208979722826853,Low,Medium,Medium,Medium,Low,Low,Very Low,High,Medium,Medium,Very Low,Very Low,1,1
8909,248.0,14.036243,180.0,-0.0,-50.0,126.25210905075072,4,64,23,1,1,5,2,7,9,6,2,3,0.20710059171597633,0.87,0.4990480510724781,0.87020576,0.4222801513436009,0.21108573734151267,Low,High,Medium,High,Medium,Low,Low,Very High,Medium,Very High,Medium,Low,1,1
2557,844.0,43.027344,339.62357,69.04616,-160.95384,0.0716732926666736,3,81,38,1,1,5,2,7,2,7,1,77,0.12217194570135746,0.06,0.49079554687433824,0.005142623,0.11592469251387642,0.0956527725718522,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
2114,211.0,3.0357237,135.0,-12.5,7.5,55.33018234279007,7,77,49,1,1,5,2,7,4,6,2,20,0.20710059171597633,0.0,0.4918284804320401,0.0067642545,0.09939039094779804,0.049043159314586963,Low,Low,Medium,Low,Low,Low,Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
2236,1127.0,46.073093,92.07003,65.871315,-184.1287,0.0518980361521244,4,114,8,1,21,3,34,5,2,8,1,26,0.12217194570135746,0.06,0.49420387096956797,0.014840005,0.25148829625781727,0.13870555158159092,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Low,Very Low,0,1
1794,608.0,33.02387,0.0,-0.0,130.0,22.430136254057288,5,24,8,1,1,5,2,7,2,7,2,53,0.17533718689788053,0.08894736842105264,0.4957220131337256,0.067908235,0.09295583526892003,0.12170777304698607,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
4315,50.0,0.0,270.0,0.0,0.0,0.9622132442891598,1,35,49,7,1,5,2,7,4,3,2,13,0.02556818181818182,0.0,0.48947671474820037,0.0029832046,0.051950872378371676,0.054164016031325306,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
3452,6.0,2.8624053,90.0,-0.0,-10.0,0.0182368643581867,3,70,56,7,25,4,33,5,4,3,2,28,0.02556818181818182,0.0,0.48977466332984737,0.01524709,0.03183843907242503,0.023643366674945075,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
1242,143.0,9.520203,116.56505,30.0,-30.0,0.1363342739641666,6,30,25,4,1,5,2,7,4,3,2,66,0.02556818181818182,0.0,0.4869204914136293,0.0011850987,0.017467284763380327,0.031353999369199664,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
1836,112.0,2.263636,288.43494,-0.0,10.0,37.411674696952105,7,161,49,7,1,5,2,7,4,3,2,9,0.02556818181818182,0.01,0.48944335607123407,0.0055346237,0.031203485664042574,0.05277025042008277,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
