,elevation_13,slope_13,aspect_13,placurv_13,procurv_13,precipitation_mm_last_7_days,soil_tax,soil_rec_symbol,soil_rec_mat_origin,soil_rec_sew_class,soil_rec_tex_sup,soil_rec_c_tex_sup,soil_rec_tex_sub,soil_rec_c__tex_sub,soil_rec_risk_eros,soil_use,rock_type,rock_period,DecistionTree_prediction_prob,RandomForest_prediction_prob,AdaBoost_prediction_prob,XGBoost_prediction_prob,LogisticRegression_prediction_prob,SupportVectorMachine_prediction_prob,DecistionTree_class3,RandomForest_class3,AdaBoost_class3,XGBoost_class3,LogisticRegression_class3,SupportVectorMachine_class3,DecistionTree_class5,RandomForest_class5,AdaBoost_class5,XGBoost_class5,LogisticRegression_class5,SupportVectorMachine_class5,landslide,train
6363,44.0,1.0127504,315.0,0.0,0.0,108.22022600844502,3,70,56,7,25,4,33,5,4,3,2,28,0.20710059171597633,0.7014285714285714,0.49837198637340646,0.48722708,0.22835112953784592,0.1255661267976353,Low,High,Medium,Medium,Low,Low,Low,High,Medium,Medium,Low,Very Low,1,1
6527,938.0,13.797973,104.74356,-8.653847,-48.653847,199.8871613591909,3,126,12,2,29,3,54,4,9,7,1,9,0.6535269709543569,0.93,0.5030108764856629,0.96002895,0.9529132706617602,0.9790102681598741,Medium,High,Medium,High,High,High,High,Very High,Medium,Very High,Very High,Very High,1,1
8676,822.0,0.0,270.0,0.0,0.0,92.69094183295964,4,3,35,1,18,4,40,5,2,7,1,62,0.5529661016949152,0.998780487804878,0.5059529082290425,0.98925984,0.7400470777039226,0.8536973752358646,Medium,High,Medium,High,High,High,Medium,Very High,Medium,Very High,High,Very High,1,1
2136,307.0,42.779255,231.58194,-15.0,-15.0,0.0881717829033732,5,24,8,1,1,5,2,7,2,7,2,53,0.02556818181818182,0.0,0.48723871749717623,0.0026183496,0.05258843104403276,0.04983965829388982,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
3792,237.0,2.8624053,180.0,-0.0,10.0,0.9991407729685308,5,24,8,1,1,5,2,7,2,7,2,2,0.02556818181818182,0.0,0.4917008411869678,0.0033089328,0.12827900878891285,0.059580726770293115,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
6957,678.0,25.453787,60.06849,-140.0,70.0,77.97661037091166,3,137,8,2,1,5,2,7,8,7,2,6,0.5529661016949152,1.0,0.5003530542452993,0.9568147,0.3279019445266364,0.3556238030848322,Medium,High,Medium,High,Low,Medium,Medium,Very High,Medium,Very High,Low,Low,1,1
8007,1551.0,0.0,270.0,0.0,0.0,70.63508728891611,3,0,62,8,44,6,64,9,13,6,1,36,0.8617245005257623,1.0,0.5104065244846065,0.99639076,0.9432926057890237,0.9587312642122704,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
6767,2113.0,22.499388,5.194429,-0.0,-90.0,78.00610888469964,3,165,11,2,28,3,46,4,2,7,1,35,0.8617245005257623,0.952732199972857,0.5051065884038854,0.932673,0.7981759224449856,0.8970655759345488,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,High,Very High,1,1
2316,1156.0,24.227745,270.0,-0.0,-90.0,3.626688703894615,3,137,8,2,1,5,2,7,8,7,1,25,0.4534005037783375,0.05,0.4990469706162015,0.06902538,0.29535637977932877,0.2526072448364208,Medium,Low,Medium,Low,Low,Low,Medium,Very Low,Medium,Very Low,Low,Low,0,1
5778,902.0,2.8624053,0.0,-0.0,-10.0,22.69306338950992,4,118,62,8,44,6,64,9,13,3,1,9,0.6535269709543569,0.92,0.501701611976818,0.88883954,0.5048975647853745,0.6093719022721248,Medium,High,Medium,High,Medium,Medium,High,Very High,Medium,Very High,Medium,High,1,1
8397,1973.0,0.0,270.0,0.0,0.0,94.29441656172276,2,107,12,1,28,3,44,5,2,8,1,30,0.8617245005257623,0.9988095238095238,0.5067288313493794,0.9947423,0.9492515800151019,0.9913531480501343,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
1682,116.0,12.0170355,183.36646,-14.423078,45.576923,5.896485768258572,4,159,1,7,6,1,5,2,4,3,2,18,0.02556818181818182,0.02,0.4879281234196777,0.005217331,0.009274168780174338,0.07127713225781637,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
5612,1080.0,47.077755,91.33222,9.027149,209.02715,58.06420103274286,3,148,8,1,16,3,55,5,2,7,2,3,0.6535269709543569,0.042,0.4983234110138555,0.06259551,0.3971502577480504,0.4153405035139653,Medium,Low,Medium,Low,Medium,Medium,High,Very Low,Medium,Very Low,Low,Medium,0,1
2656,49.0,2.8624053,270.0,-0.0,-10.0,0.0393992885947227,3,145,19,1,29,3,54,4,12,2,2,43,0.02556818181818182,0.0,0.4884513278723019,0.0018674717,0.03755568944385192,0.03809364029635012,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
4754,60.0,0.0,270.0,0.0,0.0,20.207544004544616,7,16,8,7,1,5,2,7,4,3,2,67,0.02556818181818182,0.0,0.4912139248464545,0.005231042,0.030889704282199188,0.07023467225214065,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
5715,125.0,5.710593,90.0,-0.0,20.0,0.0525253470987081,6,121,1,1,27,4,2,7,4,2,2,66,0.02556818181818182,0.0,0.4853993563014761,0.002844259,0.017271017446810744,0.029160914921695185,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
3695,724.0,2.8624053,270.0,-0.0,-10.0,0.0753760710358619,1,53,32,1,24,4,36,5,10,7,1,9,0.17533718689788053,0.0,0.4933229736354749,0.0121774245,0.4919162744238434,0.24827017950587463,Low,Low,Medium,Low,Medium,Low,Very Low,Very Low,Medium,Very Low,Medium,Low,0,1
8281,1087.0,13.519692,152.10272,-41.911766,38.088238,157.76109232753515,2,38,11,2,8,2,16,0,2,3,1,15,0.6535269709543569,0.85,0.5032072339521251,0.8608732,0.6352785034950565,0.8908766588437392,Medium,High,Medium,High,Medium,High,High,Very High,Medium,Very High,High,Very High,1,1
5146,49.0,17.676495,228.17982,-7.3170733,-17.317074,0.179579415358603,6,34,42,1,37,3,2,7,10,6,2,47,0.02556818181818182,0.05,0.4881353175018341,0.010910398,0.04165166542317126,0.02311274882876021,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
7687,1489.0,5.710593,0.0,-0.0,-20.0,41.47678370960057,1,65,11,1,24,4,6,5,5,3,1,36,0.8617245005257623,1.0,0.5051800978047478,0.9936466,0.43564577064651905,0.8187662884099656,High,High,Medium,High,Medium,High,Very High,Very High,Medium,Very High,Medium,Very High,1,1
5330,337.0,3.6469705,281.30994,-0.0,-10.0,29.51917406730354,5,163,49,1,1,5,2,7,2,4,2,64,0.02556818181818182,0.0,0.49009881145243317,0.0022501135,0.03532311658473951,0.04030064579777216,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
3165,159.0,6.37937,206.56505,-12.0,18.0,31.413683123886585,5,163,49,1,1,5,2,7,2,3,2,65,0.02556818181818182,0.0,0.4887337937514816,0.002025794,0.02255148284710096,0.030683166603702877,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
5616,178.0,15.100919,346.6075,-10.576923,49.423077,7.7337247198447585,1,112,49,1,1,5,2,7,4,8,2,3,0.02556818181818182,0.01,0.48814154485113986,0.006428892,0.13472971354261157,0.059803603328323594,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
707,3140.0,11.648635,75.96375,-7.0588236,-37.058823,16.603202803060412,5,152,8,1,37,3,2,7,2,4,2,53,0.8617245005257623,0.16,0.49950787299756855,0.15115292,0.47565562899554575,0.41527774428461256,High,Low,Medium,Low,Medium,Medium,Very High,Very Low,Medium,Very Low,Medium,Medium,0,1
4239,113.0,4.16874,329.03625,-2.5,-2.5,0.0,4,133,9,7,1,5,2,7,4,3,2,66,0.02556818181818182,0.0,0.4874468696794194,0.0027827756,0.020782104404933176,0.05786878267975733,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
2469,889.0,5.710593,0.0,-0.0,20.0,60.10016541182995,7,29,11,7,1,5,2,7,4,7,2,77,0.6535269709543569,0.16,0.4976906452476398,0.13469562,0.1591904967690286,0.21290860516038573,Medium,Low,Medium,Low,Low,Low,High,Very Low,Medium,Very Low,Very Low,Low,0,1
5960,1860.0,14.036243,270.0,-0.0,50.0,46.49372979532927,3,40,8,2,1,5,14,9,2,7,2,25,0.8617245005257623,0.9964451482446287,0.5067935827899214,0.97792643,0.7433188124119883,0.9482353810931491,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,High,Very High,1,1
178,1471.0,34.037563,128.991,122.95082,-97.04918,33.51577831432223,3,148,8,1,16,3,55,5,2,8,1,25,0.8617245005257623,0.22,0.5000381198416998,0.14058219,0.582383165652956,0.24238227582147534,High,Low,Medium,Low,Medium,Low,Very High,Low,Medium,Very Low,Medium,Low,0,1
4267,733.0,5.710593,90.0,-0.0,-20.0,5.016208335757256,3,75,60,1,23,4,2,7,2,6,1,13,0.17533718689788053,0.12,0.4966756592858911,0.066106334,0.23575439888310068,0.11191663023079766,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Low,Very Low,0,1
9210,19.0,1.0127504,135.0,0.0,0.0,42.48024348542094,4,135,45,1,1,5,4,2,4,7,2,73,0.20710059171597633,0.69,0.49707182900631014,0.8140912,0.024600814726179084,0.06879247657152501,Low,High,Medium,High,Low,Low,Low,High,Medium,Very High,Very Low,Very Low,1,1
5390,617.0,20.023485,202.16635,38.017242,-61.98276,107.17416485212745,3,148,8,1,16,3,55,5,2,7,2,53,0.5529661016949152,0.06348484848484849,0.49898420711039976,0.037372217,0.4612050148912387,0.46680139506020124,Medium,Low,Medium,Low,Medium,Medium,Medium,Very Low,Medium,Very Low,Medium,Medium,0,1
9462,2089.0,44.874115,241.50436,-50.070587,-160.07059,36.91175256483257,3,40,8,2,1,5,14,9,2,7,2,53,0.8617245005257623,0.8769331656738227,0.5038425027485154,0.8988578,0.5949872654431563,0.7395938704186302,High,High,Medium,High,Medium,High,Very High,Very High,Medium,Very High,Medium,High,1,1
3248,131.0,0.0,270.0,0.0,0.0,81.65932914149016,6,157,23,1,41,3,36,5,2,3,2,71,0.20710059171597633,0.02,0.49577113616756285,0.03407926,0.10150515776701903,0.10604114938818135,Low,Low,Medium,Low,Low,Low,Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
740,2506.0,38.65981,270.0,-0.0,-160.0,45.587719701230526,5,19,10,1,15,3,61,4,10,7,2,26,0.8617245005257623,0.37711126707588766,0.5043922705299588,0.4870281,0.7460947093316604,0.8636020259297718,High,Medium,Medium,Medium,High,High,Very High,Low,Medium,Medium,High,Very High,0,1
73,2624.0,11.309933,90.0,-0.0,40.0,3.358685770072043,2,45,11,1,11,3,41,5,8,7,1,55,0.4534005037783375,0.16871794871794873,0.499975485217065,0.077733226,0.7750176794130743,0.7210219818212938,Medium,Low,Medium,Low,High,High,Medium,Very Low,Medium,Very Low,High,High,0,1
337,2292.0,19.198614,201.0375,15.849057,65.84906,0.5562614183872938,2,44,11,1,11,3,41,5,11,7,1,29,0.12217194570135746,0.12391304347826088,0.49809134817808703,0.060277205,0.745690000418509,0.7343426413387744,Low,Low,Medium,Low,High,High,Very Low,Very Low,Medium,Very Low,High,High,0,1
2360,241.0,5.0511527,278.1301,-0.0,20.0,11.588404488749802,3,118,62,8,44,6,64,9,13,6,2,13,0.02556818181818182,0.03,0.49714202976128286,0.10497791,0.32737157369520903,0.2937813048267815,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Low,Low,0,1
8852,1463.0,0.0,270.0,0.0,0.0,124.81645435467362,2,49,11,1,38,3,59,4,11,4,2,1,0.8617245005257623,1.0,0.508778305994142,0.9956376,0.8893192240822649,0.9654851620658781,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
7000,1350.0,0.0,270.0,0.0,0.0,85.20844275970012,3,40,8,2,1,5,14,9,2,7,2,25,0.8617245005257623,0.9798823529411764,0.5093057350949731,0.9915501,0.798176490860624,0.9397239177810657,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,High,Very High,1,1
9103,1972.0,0.0,270.0,0.0,0.0,62.8674573097378,5,19,10,1,15,3,61,4,10,7,1,53,0.8617245005257623,1.0,0.5041937348607693,0.98525107,0.8701865042165117,0.9400900606005791,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
2202,55.0,5.710593,90.0,-0.0,-20.0,270.52646059915423,1,24,8,1,1,5,2,7,2,3,2,78,0.20710059171597633,0.08,0.5001761342897275,0.14185834,0.7960294514814348,0.1810116234588988,Low,Low,Medium,Low,High,Low,Low,Very Low,Medium,Very Low,High,Very Low,0,1
3963,137.0,12.176779,190.00798,-0.0,-50.0,0.0,3,81,38,1,1,5,2,7,2,6,1,9,0.02556818181818182,0.023,0.48958412038729393,0.0063597127,0.13018089396347812,0.03337036752807608,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
5312,65.0,0.0,270.0,0.0,0.0,9.960919454693794,7,77,49,1,1,5,2,7,4,6,2,22,0.02556818181818182,0.0,0.4906847006293526,0.008340171,0.04797520458554313,0.029095784953894466,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
7641,1514.0,0.0,270.0,0.0,0.0,23.467489558272064,2,118,62,8,44,6,64,9,13,2,2,31,0.8617245005257623,0.97,0.5038607146640405,0.9809131,0.5275027313340256,0.6199977490207779,High,High,Medium,High,Medium,Medium,Very High,Very High,Medium,Very High,Medium,High,1,1
6195,1444.0,2.8624053,270.0,-0.0,10.0,211.71717619616533,2,48,12,1,13,4,34,5,2,6,1,48,0.8617245005257623,1.0,0.506361188727121,0.9962321,0.9772028916280932,0.9919385441332985,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
9564,487.0,0.0,270.0,0.0,0.0,121.82661802321672,2,33,13,1,42,3,31,5,10,3,1,15,0.5529661016949152,0.8344444444444444,0.5040315228054427,0.78383875,0.7685978090700024,0.8105728894892834,Medium,High,Medium,High,High,High,Medium,Very High,Medium,High,High,Very High,1,1
2978,137.0,8.588925,65.556046,-7.5,-27.5,45.73148959688842,4,133,9,7,1,5,2,7,4,3,2,18,0.20710059171597633,0.01,0.4958606920897579,0.023536364,0.05158787297120186,0.061851127024783785,Low,Low,Medium,Low,Low,Low,Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
8731,2135.0,0.0,270.0,0.0,0.0,40.431890442967415,5,19,10,1,15,3,61,4,10,7,2,53,0.8617245005257623,0.986,0.5038406364573564,0.9858495,0.715712797244599,0.9182236346690601,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,High,Very High,1,1
3049,165.0,10.2193775,33.690067,4.6153846,14.615385,0.0,7,79,49,7,1,5,2,7,4,4,2,9,0.02556818181818182,0.0,0.4836931941206922,0.0007874303,0.019796598898624496,0.03559815863364382,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
1896,251.0,0.0,270.0,0.0,0.0,84.52778808865696,5,163,49,1,1,5,2,7,2,4,2,64,0.20710059171597633,0.05,0.4939170696905237,0.06216588,0.08278507590884022,0.0628836120650839,Low,Low,Medium,Low,Low,Low,Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
8996,1048.0,16.699244,0.0,-0.0,-60.0,1.7013327442109585,6,144,22,1,37,3,62,4,2,8,1,54,0.4534005037783375,0.73,0.4974310102996274,0.82926583,0.27741733831230386,0.21854336114304684,Medium,High,Medium,High,Low,Low,Medium,High,Medium,Very High,Low,Low,1,1
1080,338.0,26.565052,180.0,-0.0,100.0,1.2292997166514397,3,148,8,1,16,3,55,5,2,7,2,53,0.02556818181818182,0.01,0.4906679731657625,0.012773173,0.08906750165839783,0.025677262324613172,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
4728,763.0,2.8624053,0.0,-0.0,10.0,1.4648314714431765,3,148,8,1,16,3,55,5,2,4,2,53,0.17533718689788053,0.03,0.4928352739157187,0.011385708,0.09091329949096635,0.05117099328401317,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
5947,1986.0,29.65134,160.76933,69.230774,-100.76923,46.16319174692035,5,19,10,1,15,3,61,4,10,7,2,53,0.8617245005257623,0.9400989213968756,0.5024176341168719,0.95767605,0.5471435272158595,0.6407437696548436,High,High,Medium,High,Medium,Medium,Very High,Very High,Medium,Very High,Medium,High,1,1
6325,1568.0,0.0,270.0,0.0,0.0,219.92017538752407,2,7,11,1,28,4,64,9,2,7,1,9,0.8617245005257623,0.9648095238095238,0.5091022137181664,0.99045134,0.9981077277316248,0.9791414961712874,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
3670,339.0,16.699244,0.0,-0.0,-60.0,61.32772390544415,6,20,8,1,37,3,31,5,13,6,2,53,0.5529661016949152,0.08125,0.49598291851068843,0.04335957,0.16378365032006342,0.11097033720129308,Medium,Low,Medium,Low,Low,Low,Medium,Very Low,Medium,Very Low,Very Low,Very Low,0,1
4274,20.0,0.0,270.0,0.0,0.0,109.79791158810258,7,72,47,5,1,5,2,7,4,2,2,41,0.20710059171597633,0.0,0.4945262840408458,0.008582032,0.0879879068496069,0.04595648289475997,Low,Low,Medium,Low,Low,Low,Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
4594,1105.0,29.922287,235.61966,64.61539,-85.38461,34.09892256371677,3,126,12,2,29,3,54,4,9,3,1,9,0.6535269709543569,0.16,0.5009012092985066,0.054351043,0.34845701879674107,0.3359248053660104,Medium,Low,Medium,Low,Medium,Medium,High,Very Low,Medium,Very Low,Low,Low,0,1
2246,312.0,4.044691,135.0,-0.0,0.0,67.47030816785991,6,121,1,1,27,4,2,7,4,4,2,79,0.20710059171597633,0.03,0.4956587894984948,0.028110592,0.08661184870158942,0.08713460083400965,Low,Low,Medium,Low,Low,Low,Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
81,2350.0,34.99202,180.0,-0.0,140.0,0.0,2,44,11,1,11,3,41,5,11,7,1,55,0.12217194570135746,0.071,0.4965588837763107,0.12459885,0.6563367855177821,0.41201178316153364,Low,Low,Medium,Low,Medium,Medium,Very Low,Very Low,Medium,Very Low,High,Medium,0,1
9619,1702.0,0.0,270.0,0.0,0.0,39.01223965361714,2,88,12,1,23,4,36,5,9,7,1,29,0.8617245005257623,1.0,0.5051667331339494,0.9910467,0.8055364207464294,0.9476193380300544,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
877,1534.0,37.358894,219.68546,110.65574,-109.34426,1.078310552984476,3,119,33,1,28,3,54,4,2,7,1,72,0.4534005037783375,0.07,0.4956497942129649,0.050458215,0.29266075706811046,0.1253344659938166,Medium,Low,Medium,Low,Low,Low,Medium,Very Low,Medium,Very Low,Low,Very Low,0,1
5262,310.0,2.263636,108.43495,-0.0,-10.0,40.200343762524426,7,79,49,7,1,5,2,7,4,4,2,64,0.20710059171597633,0.0,0.49067223302692187,0.0037580908,0.03212745719983609,0.052625203600347864,Low,Low,Medium,Low,Low,Low,Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
5785,1303.0,11.309933,90.0,-0.0,40.0,68.92006042227149,2,38,11,2,8,2,16,0,2,8,1,55,0.8617245005257623,0.8936728145352433,0.5031514207495099,0.88583344,0.425971040979006,0.756382238032629,High,High,Medium,High,Medium,High,Very High,Very High,Medium,Very High,Medium,High,1,1
1340,438.0,1.0127504,315.0,0.0,0.0,60.8637157548219,1,105,8,1,20,4,2,7,4,4,2,53,0.5529661016949152,0.07,0.49758196448400005,0.055886712,0.21700289753317367,0.23390550413316452,Medium,Low,Medium,Low,Low,Low,Medium,Very Low,Medium,Very Low,Low,Low,0,1
3387,1129.0,23.132183,20.556046,-19.058825,-89.05882,12.85254491586238,3,148,8,1,16,3,55,5,2,6,2,53,0.4534005037783375,0.06,0.49691134635824497,0.057975013,0.1668628678593817,0.11208791794360709,Medium,Low,Medium,Low,Low,Low,Medium,Very Low,Medium,Very Low,Very Low,Very Low,0,1
4496,1045.0,0.0,270.0,0.0,0.0,3.672298876568675,3,126,12,2,29,3,54,4,9,7,1,9,0.4534005037783375,0.1,0.49874253520341666,0.09111608,0.5298964875841226,0.6152872361132008,Medium,Low,Medium,Low,Medium,Medium,Medium,Very Low,Medium,Very Low,Medium,High,0,1
759,1599.0,16.699244,180.0,-0.0,60.0,0.0,4,83,22,1,37,3,58,4,2,7,1,63,0.12217194570135746,0.02,0.4953999717959175,0.052336577,0.4980793716868834,0.1891421904377029,Low,Low,Medium,Low,Medium,Low,Very Low,Very Low,Medium,Very Low,Medium,Very Low,0,1
1356,188.0,2.8624053,0.0,-0.0,-10.0,12.460990654304624,1,58,8,6,2,5,2,7,4,6,2,3,0.02556818181818182,0.01,0.49301339679853484,0.0093762325,0.12147000296388269,0.12083341475815275,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
7782,1502.0,2.8624053,180.0,-0.0,10.0,54.826271357014775,1,0,62,8,44,6,64,9,13,3,1,36,0.8617245005257623,0.99,0.5090340104044914,0.99638784,0.8829791986119611,0.9244148806749163,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
3094,-2.0,2.8624053,180.0,-0.0,10.0,252.01332788169384,7,146,18,7,23,4,2,7,4,5,2,36,0.20710059171597633,0.05086206896551724,0.4979086198990872,0.095058575,0.6481387249850111,0.18179492042207082,Low,Low,Medium,Low,Medium,Low,Low,Very Low,Medium,Very Low,High,Very Low,0,1
5088,514.0,0.0,270.0,0.0,0.0,0.0,5,54,8,2,1,5,2,7,2,7,2,53,0.17533718689788053,0.01,0.49226986280936835,0.0077587916,0.10304186149048566,0.09631759416823293,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
2093,133.0,2.263636,161.56505,-0.0,10.0,0.2004797607660293,1,112,49,1,1,5,2,7,4,3,2,68,0.02556818181818182,0.0,0.4859234761362708,0.00073442864,0.024509790193645877,0.029642889036944235,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
7441,1514.0,0.0,270.0,0.0,0.0,33.57913919258863,1,65,11,1,24,4,6,5,5,6,1,36,0.8617245005257623,1.0,0.5052031552593766,0.9924304,0.6438004504614678,0.8926215083951059,High,High,Medium,High,Medium,High,Very High,Very High,Medium,Very High,High,Very High,1,1
3178,289.0,5.710593,270.0,-0.0,20.0,8.165524182841182,6,144,22,1,37,3,62,4,2,7,2,54,0.02556818181818182,0.08,0.49456181750135,0.058077835,0.10543852173263613,0.1455454503251856,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
9091,1592.0,5.0511527,135.0,0.0,0.0,8.804302640259266,3,26,22,2,35,4,35,5,2,7,1,63,0.4534005037783375,0.7161,0.49955618941356855,0.733068,0.5996478083070768,0.36562804377337743,Medium,High,Medium,High,Medium,Medium,Medium,High,Medium,High,Medium,Low,1,1
5370,926.0,0.0,270.0,0.0,0.0,1.6477574100717902,3,26,22,2,35,4,35,5,2,7,1,63,0.4534005037783375,0.05145833333333333,0.4978588346213239,0.19835734,0.4464543449870801,0.2106355077886155,Medium,Low,Medium,Low,Medium,Low,Medium,Very Low,Medium,Very Low,Medium,Low,0,1
7640,1461.0,0.0,270.0,0.0,0.0,208.4839775469154,3,0,62,8,44,6,64,9,13,7,1,36,0.8617245005257623,1.0,0.512189448030739,0.9979527,0.9949735577276556,0.9493347756152991,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
319,2663.0,10.024988,8.130102,3.0,23.0,5.102091666311026,2,45,11,1,11,3,41,5,8,7,1,9,0.4534005037783375,0.12871794871794873,0.5001709436207,0.051675837,0.8447480704336768,0.8250580623434628,Medium,Low,Medium,Low,High,High,Medium,Very Low,Medium,Very Low,Very High,Very High,0,1
848,1743.0,29.508194,46.78991,-33.088234,-73.088234,46.99244124628604,1,111,12,1,22,4,2,7,2,7,1,36,0.8617245005257623,0.2773447632614299,0.5031879786326919,0.31966788,0.6630197163518958,0.7574881354214852,High,Low,Medium,Low,High,High,Very High,Low,Medium,Low,High,High,0,1
9448,469.0,16.699244,180.0,-0.0,60.0,133.764092550613,2,33,13,1,42,3,31,5,10,7,1,17,0.5529661016949152,0.8863636363636364,0.5025607664345987,0.89811414,0.8568716593285836,0.8764076937292881,Medium,High,Medium,High,High,High,Medium,Very High,Medium,Very High,Very High,Very High,1,1
2785,187.0,4.044691,225.0,-0.0,0.0,180.2916163727641,5,24,8,1,1,5,2,7,2,4,2,79,0.20710059171597633,0.04,0.49745782017994333,0.07552494,0.45417023721504174,0.13545192782249119,Low,Low,Medium,Low,Medium,Low,Low,Very Low,Medium,Very Low,Medium,Very Low,0,1
1443,686.0,8.293805,149.03624,-27.692308,22.307693,114.12671389058232,1,53,32,1,24,4,36,5,10,6,1,9,0.5529661016949152,0.14,0.5009286529748077,0.13439573,0.8230246567637574,0.874435983696332,Medium,Low,Medium,Low,High,High,Medium,Very Low,Medium,Very Low,Very High,Very High,0,1
8997,1013.0,0.0,270.0,0.0,0.0,4.81627987511456,4,3,35,1,18,4,40,5,2,7,1,62,0.4534005037783375,0.96,0.5020815638282319,0.9723015,0.43357689154942713,0.31103045710024807,Medium,High,Medium,High,Medium,Low,Medium,Very High,Medium,Very High,Medium,Low,1,1
2028,150.0,12.0170355,356.63354,-0.0,40.0,1.428094444796443,6,121,1,1,27,4,2,7,4,3,2,12,0.02556818181818182,0.0003333333333333333,0.4891996811086078,0.0038569532,0.04557486691022641,0.031089388551985935,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
4935,222.0,30.4399,141.91122,95.121956,-84.87805,5.844708417542279,7,77,49,1,1,5,2,7,4,8,2,3,0.02556818181818182,0.03,0.4862236475262922,0.005390841,0.04514543629026504,0.08000632318327314,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
3983,444.0,5.0511527,351.8699,-0.0,20.0,11.886423850432038,1,105,8,1,20,4,2,7,4,7,2,53,0.17533718689788053,0.04,0.4947636443893818,0.017253762,0.17211322719124392,0.1407316529372821,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
4471,230.0,5.8851295,75.96375,-0.0,30.0,0.1685169357806444,7,77,49,1,1,5,2,7,4,6,2,64,0.02556818181818182,0.0,0.4850323524916342,0.00075168913,0.02407453942115996,0.030938979726693117,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
5250,668.0,41.01108,251.56505,-0.0,-110.0,0.4475935027003288,4,114,8,1,21,3,34,5,2,7,2,5,0.17533718689788053,0.03,0.49273081983467565,0.0045146975,0.12234332510934733,0.08822715556273214,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
