,landslide_id,latitude,longitude,landslide,event_date,rock_geo,rock_period,fis_nomr,rock_type,soil_rec_symbol,soil_rec_mat_origin,soil_rec_sew_class,soil_rec_tex_sup,soil_rec_c_tex_sup,soil_rec_tex_sub,soil_rec_c__tex_sub,soil_rec_risk_eros,soil_tax,soil_use
5246,5246,14.80305556,-91.82361111,1,2010-08-23,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Chv,Ceniza Volcánica,Drenaje Excesivo,Arena Fina-Franca Suelta o Arena Muy Fina -Franca,Gruesa,Ceniza no Intemperizada,--,Alto,Andisoles,VIII
5261,5261,14.77111111,-89.77111111,1,2010-08-26,Qa,Terciario al Cuaternario reciente.,Tierras Altas Cristalinas,Rocas Sedimentarias,SV,-999,-999,-999,,-999,-999,-999,Inceptisoles,VII
5262,5262,14.55805556,-90.52472222,1,2010-08-26,Qp,Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,AF,-999,-999,-999,-999,-999,-999,-999,Entisoles,VI
5263,5263,14.66111111,-90.52694444,1,2010-08-26,Qp,Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,AF,-999,-999,-999,-999,-999,-999,-999,Alfisoles,VII
5264,5264,14.84638889,-89.51638889,1,2010-08-27,Tv,Terciario al Cuaternario reciente.,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Jg,Roca Andesítica,Buen Drenaje,Arcilla,Muy Fina,Arcilla,Muy Fina,Alto,Inceptisoles,VII
5265,5265,14.66,-90.57111111,1,2010-08-27,Qp,Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Gt,Ceniza Volcánica,Buen Drenaje,Franco-Arcillosa a Arcilla,Moderadamente Fina,Arcilla a Franco- Arcillosa o Franco-Arcillo- Arenosa,Moderadamente Fina,Bajo (Alto en las zonas quebradas),Alfisoles,III
5267,5267,14.845,-91.40527778,1,2010-08-27,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Tp,Ceniza Volcánica o Roca,Buen Drenaje,Franco-Turbosa,Moderadamente Fina,Franco-arcillosa a Franco-arcillo-limosa,Moderadamente Fina,Alto,Andisoles,VII
5268,5268,15.05555556,-89.33333333,1,2010-08-27,Pzm,Terciario al Cuaternario reciente.,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Za,Roca de Granito y Gneis Intemperizado,Buen Drenaje,Franco-Arenosa Fina,Media,Franco-Arcillo-Arenosa,Moderadamente Fina,Alto,Inceptisoles,VII
5269,5269,14.82222222,-91.02888889,1,2010-08-27,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Tp,Ceniza Volcánica o Roca,Buen Drenaje,Franco-Turbosa,Moderadamente Fina,Franco-arcillosa a Franco-arcillo-limosa,Moderadamente Fina,Alto,Andisoles,VII
5270,5270,14.63722222,-90.45277778,1,2010-08-27,Qp,Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,AF,-999,-999,-999,-999,-999,-999,-999,Entisoles,VII
5272,5272,14.82222222,-91.16861111,1,2010-08-27,Tv,Período Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Pz,Ceniza Volcánica Pomácea,Buen Drenaje,Franco-Arenosa,Media,Franco-Arcillosa o Franco-Arcillo-Arenosa,Moderadamente Fina,Alto,Andisoles,VI
5273,5273,14.69861111,-90.63611111,1,2010-08-27,Tv,Finales del Terciario hasta principios del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cq,Ceniza Volcánica Pomácea,Buen Drenaje,Franca a Franco-Arcillo-Arenosa,Moderadamente Fina,Franco-Arcillosa,Moderadamente Fina,Alto,Andisoles,VII
5274,5274,14.59,-90.535,1,2010-08-27,Qp,Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,AF,-999,-999,-999,-999,-999,-999,-999,Entisoles,VI
5275,5275,14.595,-90.53388889,1,2010-08-27,Qp,Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,AF,-999,-999,-999,-999,-999,-999,-999,Entisoles,III
5276,5276,14.76305556,-91.13083333,1,2010-08-28,Tv,Finales del Terciario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Pz,Ceniza Volcánica Pomácea,Buen Drenaje,Franco-Arenosa,Media,Franco-Arcillosa o Franco-Arcillo-Arenosa,Moderadamente Fina,Alto,Andisoles,VIII
5279,5279,15.34527778,-90.97694444,1,2010-08-28,Pc,Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Ca,Caliza y Ceniza Volcánica,Buen Drenaje,Franca a Franco-Limosa,Media,Franco-Limosa a Franco-Arcillosa,Media,Regular a Alto,Mollisoles,VII
5280,5280,14.70638889,-91.09277778,1,2010-08-28,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Tn,Ceniza Volcánica,Buen Drenaje,Franco-Arenosa,Media,Franco-Arcillo-Arenosa o Franco-Arenosa,Moderadamente Fina,Alto,Andisoles,III
5281,5281,14.77916667,-91.10861111,1,2010-08-28,Tv,Período Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Pz,Ceniza Volcánica Pomácea,Buen Drenaje,Franco-Arenosa,Media,Franco-Arcillosa o Franco-Arcillo-Arenosa,Moderadamente Fina,Alto,Andisoles,VII
5282,5282,14.77361111,-91.18277778,1,2010-08-28,Qp,Finales del Terciario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Pz,Ceniza Volcánica Pomácea,Buen Drenaje,Franco-Arenosa,Media,Franco-Arcillosa o Franco-Arcillo-Arenosa,Moderadamente Fina,Alto,Andisoles,VII
