,elevation_mean,slope_mean,aspect_mean,placurv_mean,procurv_mean,precipitation_mm_last_7_days,soil_tax,soil_rec_symbol,soil_rec_mat_origin,soil_rec_sew_class,soil_rec_tex_sup,soil_rec_c_tex_sup,soil_rec_tex_sub,soil_rec_c__tex_sub,soil_rec_risk_eros,soil_use,rock_type,rock_period,DecistionTree_prediction_prob,RandomForest_prediction_prob,AdaBoost_prediction_prob,XGBoost_prediction_prob,LogisticRegression_prediction_prob,SupportVectorMachine_prediction_prob,DecistionTree_class3,RandomForest_class3,AdaBoost_class3,XGBoost_class3,LogisticRegression_class3,SupportVectorMachine_class3,DecistionTree_class5,RandomForest_class5,AdaBoost_class5,XGBoost_class5,LogisticRegression_class5,SupportVectorMachine_class5,landslide
1498,864.12,3.6838298639999993,146.77561200000002,0.54,-1.46,110.45427212119102,1,53,32,1,24,4,36,5,10,6,1,77,0.8511904761904762,0.002480392156862745,0.501332617183126,0.06128272,0.699521549724717,0.6922510948586507,High,Low,Medium,Low,High,High,Very High,Very Low,Medium,Very Low,High,High,0
5331,120.6,3.7509017120000006,90.00000007999999,1.32,1.32,0.9926319671794772,3,56,12,1,29,3,64,9,2,4,2,46,0.012618296529968454,0.0,0.4957161980179676,0.02827388,0.1977907029810013,0.13516485311329363,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
8866,1792.8,18.658843240000003,234.6571876,-6.46407892,23.93592124,135.92954072542489,6,144,22,1,37,3,62,4,2,7,2,3,0.913588850174216,0.9923624218785629,0.5044156322906104,0.9827003,0.866552496715097,0.9192761504529254,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1
7113,2125.76,24.40988144,208.46997599999997,-6.2475114,-7.44751144,68.86749764997512,3,119,33,1,28,3,54,4,2,7,1,60,0.913588850174216,0.9855286740457562,0.5021418818375322,0.9810704,0.7769538750882282,0.8333312727644767,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,High,Very High,1
341,2316.64,20.721551079999998,224.42728599999998,8.763845027999999,-18.83615556,30.283659434877336,3,45,11,1,11,3,41,5,8,7,1,9,0.5,0.03348876117334466,0.5017133101290631,0.08130462,0.8451700226595056,0.891751409866576,Medium,Low,Medium,Low,High,High,Medium,Very Low,Medium,Very Low,Very High,Very High,0
312,1619.52,15.213083908000003,128.687778864,-5.2782748,14.321725200000001,0.2809210978448391,4,83,22,1,37,3,58,4,2,7,1,63,0.09595959595959595,0.0007577519379844961,0.49646959580955125,0.025492929,0.48905198986193443,0.1667913700373547,Low,Low,Medium,Low,Medium,Low,Very Low,Very Low,Medium,Very Low,Medium,Very Low,0
7912,1360.84,26.152201211999994,73.58232428000001,-9.395802256,30.604198248000003,74.23120283707976,3,40,8,2,1,5,14,9,2,7,2,23,0.913588850174216,1.0,0.5060331747956655,0.995987,0.7591688595299623,0.8561841095924799,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,High,Very High,1
9360,629.64,11.464818844000002,238.39081159999998,-5.12499228,3.27500768,160.69798014033586,1,24,8,1,1,5,2,7,2,7,2,21,0.6193548387096774,0.9690672218515997,0.5013596659998871,0.88913554,0.7678294758309621,0.5922343248459624,Medium,High,Medium,High,High,Medium,High,Very High,Medium,Very High,High,Medium,1
5332,291.28,2.5893978280000005,249.653148,-0.44,-1.24,0.0,5,54,8,2,1,5,2,7,2,3,2,3,0.012618296529968454,0.0,0.4905310835477367,0.00031267575,0.04778752110158658,0.04241777810625437,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
7175,2201.76,7.222009615999998,156.84074551999998,-1.5243429600000002,-1.9243430000000001,58.14058371633291,2,165,11,2,28,3,46,4,2,7,1,35,0.913588850174216,0.9904131620447757,0.5047727679599807,0.9672211,0.8034251297548513,0.9059778485382556,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1
